scheme_code,fund_name,fund_type,nav,nav_change_pct
119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Debt,110.296,0.0
119552,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,Debt,116.4976,0.0
119553,Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,Debt,104.3732,0.0
108272,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,Debt,154.6157,0.0
110282,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,Debt,112.0279,0.0
108274,Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,Debt,102.1263,0.0
110490,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,Debt,113.152,0.0
106157,Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,Debt,103.2879,0.0
108273,Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,Debt,376.4384,0.0
103176,Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,Debt,565.0853,0.0
119550,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,Debt,391.4867,0.0
128952,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,Debt,1532.8272,0.0
120437,Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,Debt,1039.131,0.0
120438,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,Debt,2802.3374,0.0
120439,Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,Debt,1034.5946,0.0
120436,Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,Debt,1038.8319,0.0
128953,Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,Debt,1289.4075,0.0
117447,Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,Debt,1039.1303,0.0
117446,Axis Banking & PSU Debt Fund - Regular Plan - Growth option,Debt,2713.054,0.0
117449,Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,Debt,1034.3351,0.0
117448,Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,Debt,1038.6533,0.0
152164,Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW,Debt,10.9999,0.0
152163,Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW,Debt,11.8463,0.0
152165,Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth,Debt,11.702,0.0
152166,Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW,Debt,11.702,0.0
152162,Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth,Debt,11.8463,0.0
152167,Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW,Debt,10.9237,0.0
121936,Bandhan Banking and PSU Fund - Direct Annual IDCW,Debt,12.7079,0.0
127471,Bandhan Banking and PSU Fund - Direct Daily IDCW,Debt,10.4768,0.0
121934,Bandhan Banking and PSU Fund - Direct Fortnightly IDCW,Debt,10.4749,0.0
121279,Bandhan Banking and PSU Fund - Direct Growth,Debt,26.0882,0.0
121281,Bandhan Banking and PSU Fund - Direct IDCW,Debt,13.723,0.0
121935,Bandhan Banking and PSU Fund - Direct Monthly IDCW,Debt,10.4454,0.0
121938,Bandhan Banking and PSU Fund - Direct Quarterly IDCW,Debt,10.9566,0.0
121933,Bandhan Banking and PSU Fund - Regular Annual IDCW,Debt,11.6577,0.0
127470,Bandhan Banking and PSU Fund - Regular Daily IDCW,Debt,10.8788,0.0
121931,Bandhan Banking and PSU Fund - Regular Fortnightly IDCW,Debt,10.6286,0.0
121280,Bandhan Banking and PSU Fund - Regular Growth,Debt,25.3037,0.0
121282,Bandhan Banking and PSU Fund - Regular IDCW,Debt,13.6639,0.0
121932,Bandhan Banking and PSU Fund - Regular Monthly IDCW,Debt,10.6869,0.0
121937,Bandhan Banking and PSU Fund - Regular Quarterly IDCW,Debt,10.8529,0.0
150505,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,Debt,12.5026,0.0
150507,Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,Debt,10.7447,0.0
150503,Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,Debt,12.3724,0.0
150504,Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),Debt,10.6446,0.0
